[unet] training on 250 samples (seed=3)
[unet] param count: 149,641
  epoch   0 | train 1.0243 | test 0.8310
  epoch  10 | train 0.3538 | test 0.4146
  epoch  20 | train 0.2726 | test 0.3246
  epoch  30 | train 0.2503 | test 0.3410
  epoch  40 | train 0.2006 | test 0.3056
  epoch  50 | train 0.1768 | test 0.3077
  epoch  60 | train 0.1617 | test 0.2984
  epoch  70 | train 0.1484 | test 0.3135
  epoch  80 | train 0.1439 | test 0.3101
  epoch  90 | train 0.1302 | test 0.3225
  epoch 100 | train 0.1108 | test 0.3087
  epoch 110 | train 0.0871 | test 0.3101
  epoch 120 | train 0.0779 | test 0.3080
  epoch 130 | train 0.0831 | test 0.3093
  epoch 140 | train 0.0806 | test 0.3123
  epoch 150 | train 0.0772 | test 0.3115
  epoch 160 | train 0.0734 | test 0.3154
  epoch 170 | train 0.0751 | test 0.3137
  epoch 180 | train 0.0889 | test 0.3234
  epoch 190 | train 0.0690 | test 0.3150
  epoch 200 | train 0.0620 | test 0.3159
  epoch 210 | train 0.0502 | test 0.3145
  epoch 220 | train 0.0489 | test 0.3144
  epoch 230 | train 0.0487 | test 0.3148
  epoch 240 | train 0.0482 | test 0.3138
  epoch 250 | train 0.0476 | test 0.3163
  epoch 260 | train 0.0464 | test 0.3148
  epoch 270 | train 0.0489 | test 0.3168
  epoch 280 | train 0.0452 | test 0.3155
  epoch 290 | train 0.0446 | test 0.3147
  epoch 300 | train 0.0444 | test 0.3151
  epoch 310 | train 0.0402 | test 0.3161
  epoch 320 | train 0.0390 | test 0.3159
  epoch 330 | train 0.0373 | test 0.3158
  epoch 340 | train 0.0385 | test 0.3159
  epoch 350 | train 0.0381 | test 0.3162
  epoch 360 | train 0.0391 | test 0.3165
  epoch 370 | train 0.0377 | test 0.3166
  epoch 380 | train 0.0369 | test 0.3176
  epoch 390 | train 0.0353 | test 0.3164
  epoch 400 | train 0.0359 | test 0.3161
  epoch 410 | train 0.0344 | test 0.3169
  epoch 420 | train 0.0354 | test 0.3171
  epoch 430 | train 0.0347 | test 0.3172
  epoch 440 | train 0.0340 | test 0.3171
  epoch 450 | train 0.0342 | test 0.3171
  epoch 460 | train 0.0341 | test 0.3173
  epoch 470 | train 0.0336 | test 0.3169
  epoch 480 | train 0.0336 | test 0.3175
  epoch 490 | train 0.0334 | test 0.3174
  done. final test rel-L2: 0.3178
  checkpoint: checkpoints/unet_N250_seed3_final.eqx
