model_type,n_train,mean,std,train_mean,train_std,n_seeds,gap
fno,100,0.23044760823249816,0.013069780124440178,0.031106640895207725,0.0016820486226647108,5,0.19934096733729043
fno,250,0.11831217855215073,0.007754905801225713,0.022681133502296037,0.001209402937369372,5,0.0956310450498547
fno,500,0.06693074405193329,0.004237953333715906,0.016259353756904602,0.0009254125941664608,5,0.05067139029502869
fno,1000,0.03701320737600326,0.0020534434023822563,0.012632683742671244,0.00040958901711251884,5,0.02438052363333202
fno,1500,0.027810883522033692,0.0020359742269787187,0.011542105034965536,0.00042693807665860337,5,0.016268778487068154
fno,2000,0.023021339625120162,0.0009862393985677113,0.010880651472196464,0.00033050619622684976,5,0.012140688152923698
unet,100,0.3956690847873688,0.009016233283309256,0.034952199459075926,0.0017555379967747278,5,0.3607168853282929
unet,250,0.3074398398399353,0.00751121595792065,0.03140239508024284,0.00092683133370646,5,0.27603744475969244
unet,500,0.20147503316402435,0.0044146734234050905,0.029031479979554815,0.000617113805279075,5,0.17244355318446952
unet,1000,0.12407034337520599,0.0067509444166747945,0.025858079029187082,0.0004976405758294759,5,0.0982122643460189
unet,1500,0.08429705798625946,0.003379194000422307,0.023845038409142393,0.0003302004416957901,5,0.060452019577117065
unet,2000,0.06562710106372834,0.0045893944875841225,0.02240801069645151,0.0007867325282699619,5,0.04321909036727682
